avg price;overall_rating;name;club;nation;league;position;skills;weakfoot;foot;revision;pac;sho;pas;dri;def;phy
650;76;Nikola Milenkovic;Fiorentina;Serbia;Serie A TIM;CB;2;3;Right;Normal;64;44;62;61;75;81
436667;86;Frank Lampard;Icons;England;Icons;CM;3;4;Right;Icon;75;86;85;82;70;76
600;77;Rogelio Funes Mori;Monterrey;Argentina;LIGA Bancomer MX;ST;3;4;Right;Normal;76;74;68;74;43;78
12750;78;Joelinton Apolinário de Lira;Newcastle United;Brazil;Premier League;ST;3;4;Right;OTW;78;75;60;76;43;81
1000;80;Kurt Zouma;Chelsea;France;Premier League;CB;2;3;Right;Normal;64;51;59;56;78;83
600;75;Luciano Aued;Universidad Católica;Argentina;Campeonato Scotiabank;CM;3;3;Left;Normal;57;68;73;72;67;77
650;76;Dmytro Chygrynskyi;AEK Athens;Ukraine;Hellas Liga;CB;2;3;Right;Normal;50;39;59;46;76;75
800;75;Leandro González Pirez;Atlanta United;Argentina;Major League Soccer;CB;2;3;Right;Normal;72;48;62;66;73;78
1933;83;Pablo Sarabia García;Paris Saint-Germain;Spain;Ligue 1 Conforama;CAM;4;4;Left;Normal;75;76;82;84;57;57
2600;82;Iñaki Williams Arthuer;Athletic Club;Spain;LaLiga Santander;ST;4;2;Right;Normal;94;80;72;80;41;82
500;77;Razvan Marin;Ajax;Romania;Eredivisie;CM;4;4;Right;Normal;69;74;78;75;65;70
2200;79;Lucas Alario;Bayer 04 Leverkusen;Argentina;Bundesliga;ST;3;3;Right;CL;71;77;59;75;29;75
1100;75;Ghislain Konan;Stade de Reims;Côte d'Ivoire;Ligue 1 Conforama;LB;3;3;Left;Normal;81;48;68;77;70;73
730333;85;Gianfranco Zola;Icons;Italy;Icons;CF;4;4;Right;Icon;90;85;82;91;41;63
883;80;Ibai Gómez Pérez;Athletic Club;Spain;LaLiga Santander;RM;4;5;Right;Normal;76;79;80;80;59;67
1333;77;Dayot Upamecano;RB Leipzig;France;Bundesliga;CB;2;3;Right;Normal;76;36;59;62;75;80
783;77;Jefferson Farfán;Lokomotiv Moscow;Peru;League of Russia;RM;4;3;Right;Normal;84;73;75;76;36;75
2033;76;Marcel Schmelzer;Borussia Dortmund;Germany;Bundesliga;LB;2;2;Left;CL;74;48;67;66;76;76
883;76;Franco Cervi;SL Benfica;Argentina;Liga NOS;LM;4;3;Left;CL;92;65;68;84;50;51
1300;78;Carlos Izquierdoz;Buenos Aires;Argentina;SAF;CB;2;2;Right;Normal;50;51;54;54;78;81
600;77;Youssef El Arabi;Olympiacos CFP;Morocco;Hellas Liga;ST;3;4;Right;CL;71;78;67;81;37;66
1633;80;Martin Hinteregger;Eintracht Frankfurt;Austria;Bundesliga;CB;2;3;Left;Normal;68;61;64;60;81;80
443000;88;Andriy Shevchenko;Icons;Ukraine;Icons;ST;3;4;Right;Icon;84;89;73;85;35;75
1467;81;Marcelo Brozovic;Inter;Croatia;Serie A TIM;CDM;3;4;Right;Normal;64;73;79;80;76;73
900;78;Martín Cáceres;Fiorentina;Uruguay;Serie A TIM;CB;3;3;Right;Normal;74;51;65;70;79;73
13667;79;Casimir Ninga;Angers SCO;Chad;Ligue 1 Conforama;LW;3;3;Right;IF;95;80;72;76;33;84
733;76;Óscar Duarte;Levante UD;Costa Rica;LaLiga Santander;CB;2;3;Right;Normal;65;47;54;56;77;75
2300;76;Jean-Kévin Augustin;AS Monaco Football Club SA;France;Ligue 1 Conforama;ST;4;3;Right;;81;75;62;79;30;63
1700;82;Quincy Promes;Ajax;Holland;Eredivisie;LW;5;4;Right;CL;91;79;79;82;40;67
12417;84;Georginio Wijnaldum;Liverpool;Holland;Premier League;CM;4;3;Right;CL;77;73;78;85;76;78
639333;89;Gary Lineker;Icons;England;Icons;ST;3;4;Right;Icon;89;90;70;84;38;74
950;77;Miguel Luís Pinto Veloso;Hellas Verona;Portugal;Serie A TIM;CM;3;3;Left;Normal;49;70;82;76;64;65
1300;79;Davide Zappacosta;Roma;Italy;Serie A TIM;RB;3;3;Right;Normal;78;66;72;74;76;74
583;78;Javier Hernández;Sevilla FC;Mexico;LaLiga Santander;ST;3;3;Right;;70;77;64;75;31;59
1200;75;Håvard Nordtveit;TSG 1899 Hoffenheim;Norway;Bundesliga;CB;2;3;Right;Normal;49;53;71;66;75;75
600;79;Ross Barkley;Chelsea;England;Premier League;CAM;4;5;Right;Normal;70;73;77;80;56;73
2000;81;André Gomes Magalhães Almeida;SL Benfica;Portugal;Liga NOS;RB;3;3;Right;Normal;68;63;76;75;82;82
15000;84;Marcos Acuña;Sporting CP;Argentina;Liga NOS;LB;4;3;Left;IF;80;77;85;87;81;87
113333;86;Alejandro Gómez;Atalanta;Argentina;Serie A TIM;CAM;4;4;Right;IF;90;80;83;87;40;56
667;78;Nemanja Maksimovic;Getafe CF;Serbia;LaLiga Santander;CM;3;3;Right;Normal;62;67;74;72;76;74
3233;83;Jordan Henderson;Liverpool;England;Premier League;CDM;3;3;Right;Normal;64;70;83;77;78;80
886333;88;Emmanuel Petit;Icons;France;Icons;CDM;3;3;Left;Icon;75;77;81;77;86;88
16250;87;Carlos Henrique Venancio Casimiro;Real Madrid;Brazil;LaLiga Santander;CDM;2;3;Right;Normal;62;72;75;72;85;89
683;77;Mouctar Diakhaby;Valencia CF;France;LaLiga Santander;CB;2;3;Right;Normal;56;37;52;58;76;77
1933;82;Pedro Rodríguez Ledesma;Chelsea;Spain;Premier League;RW;4;5;Right;CL;75;77;77;83;43;56
483;77;Ole Kristian Selnæs;Shenzhen FC;Norway;CSL;CDM;3;3;Left;Normal;66;60;75;73;72;72
700;80;Maximiliano Gómez;Valencia CF;Uruguay;LaLiga Santander;ST;3;3;Right;Normal;64;80;68;73;32;79
2167;75;Ryan Sessegnon;Tottenham Hotspur;England;Premier League;LM;4;3;Left;CL;87;67;68;75;64;62
11250;82;Denis Cheryshev;Valencia CF;Russia;LaLiga Santander;LW;3;4;Left;IF;80;83;82;80;58;70
567;75;Nicola Sansone;Bologna;Italy;Serie A TIM;ST;3;3;Right;Normal;78;76;72;79;44;59
1300;79;Léo Dubois;Olympique Lyonnais;France;Ligue 1 Conforama;RB;3;4;Right;Normal;74;61;75;75;77;73
933;79;Niklas Stark;Hertha BSC;Germany;Bundesliga;CB;2;3;Right;Normal;78;53;66;67;80;75
480000;85;Gennaro Gattuso;Icons;Italy;Icons;CM;2;3;Right;Icon;73;66;76;74;90;88
240000;87;Jay-Jay Okocha;Icons;Nigeria;Icons;RM;5;4;Right;Icon;83;79;84;91;41;58
156667;89;Antoine Griezmann;FC Barcelona;France;LaLiga Santander;CF;4;3;Left;Normal;81;86;84;89;57;72
717;75;Krépin Diatta;Club Brugge KV;Senegal;Belgium Pro League;LW;3;4;Right;CL;93;67;66;78;47;63
1133;78;Joachim Andersen;Olympique Lyonnais;Denmark;Ligue 1 Conforama;CB;2;3;Right;CL;60;40;54;56;78;79
7967;84;Serge Gnabry;FC Bayern München;Germany;Bundesliga;RM;4;4;Right;CL;90;82;75;85;43;69
700;76;Mario Gómez;VfB Stuttgart;Germany;Bundesliga 2;ST;3;4;Right;Normal;58;75;59;67;35;75
733;77;Matías Vargas;RCD Espanyol;Argentina;LaLiga Santander;LW;4;4;Right;Normal;90;70;72;82;42;67
500;79;Elkeson de Oliveira Cardoso;Guangzhou Evergrande Taobao;China PR;CSL;ST;4;4;Right;;81;77;73;77;49;76
967;75;Sebastien Dewaest;KRC Genk;Belgium;Belgium Pro League;CB;2;2;Right;CL;51;41;46;40;75;81
3600;81;Alessandro Florenzi;Roma;Italy;Serie A TIM;RB;4;3;Right;Normal;82;77;76;80;77;73
867;75;Federico Vico Villegas;Granada CF;Spain;LaLiga Santander;CAM;4;3;Left;Normal;75;66;74;77;49;52
817;79;Víctor Machín Pérez;Atlético Madrid;Spain;LaLiga Santander;LM;3;4;Right;Normal;76;76;76;79;41;75
933;77;José Luis Palomino;Atalanta;Argentina;Serie A TIM;CB;2;3;Left;CL;52;32;55;59;78;80
850;82;Daniele De Rossi;Buenos Aires;Italy;SAF;CDM;2;4;Right;Normal;59;64;73;70;85;77
2000;82;Bas Dost;Eintracht Frankfurt;Holland;Bundesliga;ST;2;3;Right;Normal;50;82;57;66;45;80
500;77;Francisco L. Lima Silva Machado;SL Benfica;Portugal;Liga NOS;CAM;3;3;Right;Normal;72;70;76;79;57;51
700;78;Okay Yokuslu;RC Celta;Turkey;LaLiga Santander;CDM;3;4;Right;Normal;68;70;73;73;75;84
583;75;Filip Krovinovic;West Bromwich Albion;Croatia;EFL Championship;CAM;4;4;Right;Normal;67;69;73;77;60;62
3300;82;Ander Herrera Agüera;Paris Saint-Germain;Spain;Ligue 1 Conforama;CM;3;4;Right;CL;70;72;78;80;82;77
700;76;Donyell Malen;PSV;Holland;Eredivisie;ST;4;3;Right;Normal;91;73;64;79;29;72
1971667;95;Diego Maradona;Icons;Argentina;Icons;CAM;5;3;Left;Icon;88;91;90;95;42;75
700;75;Luis Montes;Club León;Mexico;LIGA Bancomer MX;CM;3;3;Left;Normal;64;69;74;77;58;67
1300;75;Julio Buffarini;Buenos Aires;Argentina;SAF;RB;3;3;Right;Normal;87;62;66;73;69;81
3267;83;Adrien Rabiot;Piemonte Calcio;France;Serie A TIM;CM;3;3;Left;CL;73;74;79;81;77;80
1433;75;Sergiy Kryvtsov;Shakhtar Donetsk;Ukraine;Ukraine Liga;CB;2;3;Right;CL;65;44;51;51;75;79
22333;80;Andreas Cornelius;Parma;Denmark;Serie A TIM;ST;3;3;Left;IF;70;81;61;72;46;84
583;77;Marco van Ginkel;Chelsea;Holland;Premier League;CM;3;4;Right;Normal;64;77;77;75;70;70
11250;81;Amine Harit;FC Schalke 04;Morocco;Bundesliga;LM;5;3;Right;IF;86;68;78;84;48;51
11500;81;Jermain Defoe;Rangers FC;England;Scottish Premiership;ST;3;4;Right;IF;72;88;66;81;31;61
396667;88;Sadio Mané;Liverpool;Senegal;Premier League;LW;4;4;Right;CL;94;83;77;88;44;74
79833;88;Karim Benzema;Real Madrid;France;LaLiga Santander;ST;4;4;Right;IF;77;84;81;87;41;78
386667;86;Fernando Hierro Ruiz;Icons;Spain;Icons;CB;2;3;Right;Icon;75;65;73;71;87;82
783;76;Alexander Barboza;Independiente;Argentina;SAF;CB;2;3;Left;Normal;54;55;58;63;73;84
1267;81;James Milner;Liverpool;England;Premier League;CM;3;4;Right;CL;61;70;82;78;77;78
1000;80;Mario Hermoso Canseco;Atlético Madrid;Spain;LaLiga Santander;CB;2;3;Left;Normal;79;49;72;71;79;77
1800;81;Benedikt Höwedes;Lokomotiv Moscow;Germany;League of Russia;CB;2;3;Right;CL;52;48;62;65;82;74
800;78;Sandro Wagner;Tianjin TEDA FC;Germany;CSL;ST;3;4;Right;Normal;59;79;53;65;36;82
10583;81;João Pedro G. Santos Galvão;Cagliari;Brazil;Serie A TIM;ST;4;4;Right;IF;77;82;78;79;44;72
1300;78;Mark Uth;FC Schalke 04;Germany;Bundesliga;ST;3;3;Left;Normal;76;80;69;77;40;68
800;75;Hamari Traoré;Stade Rennais FC;Mali;Ligue 1 Conforama;RB;3;3;Right;Normal;81;54;68;75;71;69
3300;76;Caio Lucas Fernandes;SL Benfica;Brazil;Liga NOS;LM;4;3;Right;CL;83;72;70;79;30;55
20000;86;Luis Alberto Romero Alconchel;Lazio;Spain;Serie A TIM;CM;4;3;Right;IF;73;78;88;86;51;61
1200;75;Angelo Fulgini;Angers SCO;France;Ligue 1 Conforama;RM;3;4;Right;Normal;76;60;74;76;68;69
1633;82;Pedro Rodríguez Ledesma;Chelsea;Spain;Premier League;RW;4;5;Right;Normal;75;77;77;83;43;56
2500;81;Yussuf Poulsen;RB Leipzig;Denmark;Bundesliga;ST;3;3;Right;Normal;83;74;67;75;56;82
13500;84;Nicolas Nkoulou;Torino;Cameroon;Serie A TIM;CB;2;3;Right;IF;73;48;67;74;85;77
1500;83;Luka Jovic;Real Madrid;Serbia;LaLiga Santander;ST;3;5;Right;Normal;77;82;68;81;29;74
733;76;Roberto Rosales;CD Leganés;Venezuela;LaLiga Santander;RB;3;3;Right;Normal;71;64;70;74;75;67
43333;86;Ilkay Gündogan;Manchester City;Germany;Premier League;CM;4;4;Right;IF;68;77;86;86;74;73
16667;87;Karim Benzema;Real Madrid;France;LaLiga Santander;CF;4;4;Right;Normal;76;82;80;86;39;77
500;77;Claudemir Domingues de Souza;SC Braga;Brazil;Liga NOS;CDM;3;3;Right;Normal;62;67;74;73;73;77
967;80;Charles Dias De Oliveira;SD Eibar;Brazil;LaLiga Santander;ST;4;3;Right;Normal;60;81;61;79;35;67
1933;79;Richarlison de Andrade;Everton;Brazil;Premier League;RM;4;5;Right;Normal;84;77;72;81;45;79
12000;81;Éder Gabriel Militão;Real Madrid;Brazil;LaLiga Santander;CB;2;2;Right;CL;79;50;66;71;81;81
600;77;Zlatko Junuzovic;FC Red Bull Salzburg;Austria;Österreichische Fußball-Bundesliga;CM;3;4;Right;CL;71;73;78;81;65;73
900;80;Matias Vecino;Inter;Uruguay;Serie A TIM;CDM;4;3;Right;CL;67;68;77;80;76;74
1933;75;Luca Zuffi;FC Basel;Switzerland;Raiffeisen Super League;CAM;3;4;Left;Normal;66;73;80;72;71;71
500;75;Omar Kharbin;Al Hilal;Syria;Saudi Professional League;ST;3;3;Right;Normal;80;75;58;71;36;68
1300;75;Hernâni Jorge Santos Fortes;Levante UD;Portugal;LaLiga Santander;RM;4;2;Left;Normal;92;68;68;80;29;56
13250;83;Davinson Sánchez;Tottenham Hotspur;Colombia;Premier League;CB;2;3;Right;CL;74;45;57;67;83;81
10917;78;Eljif Elmas;Napoli;FYR Macedonia;Serie A TIM;CAM;3;4;Right;IF;73;77;76;79;64;74
16250;84;Mikel Oyarzabal Ugarte;Real Sociedad;Spain;LaLiga Santander;LW;3;3;Left;IF;77;84;82;84;41;63
500;75;Hillal Soudani;Olympiacos CFP;Algeria;Hellas Liga;ST;4;4;Left;Normal;72;75;69;75;43;67
8600;84;Georginio Wijnaldum;Liverpool;Holland;Premier League;CM;4;3;Right;Normal;77;73;78;85;76;78
2900;81;Jérémy Mathieu;Sporting CP;France;Liga NOS;CB;2;2;Left;Normal;68;64;73;63;83;81
500;76;Mohamed Elyounoussi;Celtic;Norway;Scottish Premiership;LM;4;4;Right;;78;71;75;76;39;63
22000;85;Frenkie de Jong;FC Barcelona;Holland;LaLiga Santander;CM;4;3;Right;Normal;79;64;84;88;76;76
2487667;91;Zinedine Zidane;Icons;France;Icons;CM;5;5;Right;Icon;84;86;91;90;73;81
767;78;Leander Dendoncker;Wolverhampton Wanderers;Belgium;Premier League;CM;2;4;Right;Normal;67;72;77;71;78;83
1293000;90;Emilio Butragueño Santos;Icons;Spain;Icons;ST;3;5;Right;Icon;92;88;81;91;42;70
594667;88;Frank Rijkaard;Icons;Holland;Icons;CB;3;4;Right;Icon;78;73;79;78;88;85
1067;75;Wesley Hoedt;Royal Antwerp FC;Holland;Belgium Pro League;CB;2;3;Left;;54;46;59;57;75;74
500;79;Leonardo Carrilho Baptistão;Wuhan Zall;Brazil;CSL;ST;4;3;Right;Normal;77;75;72;78;33;67
550;75;Bruno Zuculini;Núñez;Argentina;SAF;CDM;3;3;Right;Normal;66;58;69;72;70;77
2000;82;Alexis Sánchez;Inter;Chile;Serie A TIM;LW;4;3;Right;Normal;81;78;77;84;44;73
654000;88;Roberto Firmino Barbosa de Oliveira;Liverpool;Brazil;Premier League;CF;4;4;Right;Halloween;80;84;82;89;80;85
1000;78;Diego Demme;RB Leipzig;Germany;Bundesliga;CDM;3;4;Right;CL;60;39;74;75;74;78
3433;83;Nicolás Otamendi;Manchester City;Argentina;Premier League;CB;2;3;Right;Normal;56;57;63;61;83;78
3300;75;Rodrigo Alves Soares;PAOK;Brazil;Hellas Liga;RB;3;2;Right;Normal;75;61;75;75;69;75
1700;82;Giuliano Victor de Paula;Al Nassr;Brazil;Saudi Professional League;CAM;4;3;Right;Normal;81;77;79;83;46;75
2833;79;Víctor Laguardia Cisneros;D. Alavés;Spain;LaLiga Santander;CB;2;3;Right;Normal;53;45;55;49;80;79
883;76;Francisco José Olivas Alba;R. Valladolid CF;Spain;LaLiga Santander;CB;2;3;Right;Normal;52;52;59;60;76;78
900;78;Issa Diop;West Ham United;France;Premier League;CB;2;3;Right;Normal;67;36;52;56;79;79
297333;89;Michael Laudrup;Icons;Denmark;Icons;LW;4;4;Right;Icon;82;77;89;90;36;62
550;77;Exequiel Palacios;Núñez;Argentina;SAF;CM;4;4;Right;Normal;77;73;73;77;68;74
1000;78;Victor Wanyama;Tottenham Hotspur;Kenya;Premier League;CDM;2;3;Right;CL;51;65;67;70;79;82
2000;78;Daniel Ginczek;VfL Wolfsburg;Germany;Bundesliga;ST;3;4;Right;Normal;76;77;51;68;38;79
57500;87;Jordi Alba Ramos;FC Barcelona;Spain;LaLiga Santander;LB;3;3;Left;CL;90;69;81;83;79;73
3067;82;José Ignacio Fernández Iglesias;Real Madrid;Spain;LaLiga Santander;CB;2;4;Right;Normal;74;37;66;65;81;79
1967;77;Fabricio Bustos;Independiente;Argentina;SAF;RB;4;3;Right;Normal;87;62;72;78;70;72
1200;77;Lisandro Martínez;Ajax;Argentina;Eredivisie;CB;3;3;Left;CL;75;55;70;74;77;76
806667;87;Emilio Butragueño Santos;Icons;Spain;Icons;ST;3;5;Right;Icon;90;86;75;89;40;64
479333;86;John Barnes;Icons;England;Icons;CAM;4;4;Left;Icon;82;83;86;87;61;84
2900;80;Joe Gomez;Liverpool;England;Premier League;CB;3;3;Right;CL;81;30;64;68;79;76
533;78;Jóhann Berg Guðmundsson;Burnley;Iceland;Premier League;RM;4;4;Left;Normal;75;74;78;77;61;70
68167;85;Gareth Bale;Real Madrid;Wales;LaLiga Santander;RW;4;3;Left;CL;91;87;82;82;58;76
2667;78;Rafael Pereira da Silva;Olympique Lyonnais;Brazil;Ligue 1 Conforama;RB;4;3;Right;Normal;79;60;74;79;75;78
1367;79;Ibrahima Konaté;RB Leipzig;France;Bundesliga;CB;3;2;Right;Normal;78;27;54;68;80;78
500;77;Johnathan Aparecido Silva;Tianjin TEDA FC;Brazil;CSL;ST;4;5;Right;Normal;79;76;63;74;40;76
3000;78;Rafael Tolói;Atalanta;Brazil;Serie A TIM;CB;2;2;Right;CL;64;47;58;63;80;67
500;77;João Alves de Assis Silva;Nagoya Grampus;Brazil;Meiji Yasuda J1 League;ST;3;3;Left;Normal;67;75;65;73;28;75
1033;80;Miguel Almirón;Newcastle United;Paraguay;Premier League;LW;4;2;Left;Normal;89;74;76;81;48;63
717;77;Vlad Chiriches;Sassuolo;Romania;Serie A TIM;CB;2;3;Right;;63;64;56;63;80;69
1233;76;Wallace Fortuna Santos;SC Braga;Brazil;Liga NOS;CB;2;2;Right;;65;28;44;50;77;72
8700;85;Hakim Ziyech;Ajax;Morocco;Eredivisie;CAM;4;2;Left;Normal;80;75;86;83;50;66
5533;84;Kai Havertz;Bayer 04 Leverkusen;Germany;Bundesliga;CAM;4;4;Left;CL;84;78;79;84;44;65
12167;80;Camillo Ciano;Frosinone;Italy;Calcio B;ST;4;4;Left;IF;85;81;79;83;33;68
850;81;Lucas Vázquez Iglesias;Real Madrid;Spain;LaLiga Santander;RW;4;4;Right;Normal;82;73;79;81;58;69
17250;87;Thiago Alcântara;FC Bayern München;Spain;Bundesliga;CM;5;3;Right;CL;69;74;85;90;69;63
900;81;Lautaro Martínez;Inter;Argentina;Serie A TIM;ST;4;4;Right;Normal;81;77;68;82;40;83
783;76;Francisco Femenía Far;Watford;Spain;Premier League;RB;3;3;Right;Normal;75;58;71;78;73;68
152667;85;Raphaël Varane;Real Madrid;France;LaLiga Santander;CB;2;3;Right;Normal;83;45;62;64;85;80
800;77;Wenderson Nascimento Galeno;SC Braga;Brazil;Liga NOS;LW;4;3;Right;Normal;88;70;66;80;32;65
933;80;Sofiane Feghouli;Galatasaray SK;Algeria;Süper Lig;RM;4;3;Right;CL;86;72;74;82;34;64
733;77;Davide Calabria;Milan;Italy;Serie A TIM;RB;3;3;Right;Normal;76;43;68;74;76;69
500;76;Ogenyi Onazi;Trabzonspor;Nigeria;Süper Lig;CDM;3;3;Right;Normal;80;66;71;76;75;72
11333;78;Jordan Morris;Seattle Sounders FC;United States;Major League Soccer;LM;3;2;Right;IF;89;79;66;73;41;82
717;75;Leighton Baines;Everton;England;Premier League;LB;3;3;Left;Normal;56;68;77;76;76;59
56333;85;Andrew Robertson;Liverpool;Scotland;Premier League;LB;3;2;Left;CL;85;62;77;79;80;75
517;78;Mbaye Diagne;Club Brugge KV;Senegal;Belgium Pro League;ST;3;4;Right;;65;78;58;62;32;74
967;78;Aluísio Chaves Rib. Moraes Júnior;Shakhtar Donetsk;Ukraine;Ukraine Liga;ST;3;4;Right;Normal;79;77;55;74;27;66
29833;89;Kalidou Koulibaly;Napoli;Senegal;Serie A TIM;CB;2;3;Right;CL;71;28;54;68;89;87
883;76;Amadou Haidara;RB Leipzig;Mali;Bundesliga;CM;4;2;Right;CL;73;70;74;76;65;69
550;75;Alfred Duncan;Sassuolo;Ghana;Serie A TIM;CM;3;3;Left;Normal;71;63;73;73;76;76
1233;75;Aleksandar Katai;Chicago Fire Soccer Club;Serbia;Major League Soccer;LM;4;4;Right;Normal;66;75;73;77;43;67
533;76;Isaac Hayden;Newcastle United;England;Premier League;CDM;2;4;Right;Normal;58;55;64;68;74;76
2033;80;Gabriel Appelt Pires;SL Benfica;Brazil;Liga NOS;CM;3;5;Left;Normal;63;74;77;79;76;83
700;75;Faris Haroun;Royal Antwerp FC;Belgium;Belgium Pro League;CDM;3;3;Right;Normal;55;68;65;68;74;82
333;76;Adam Maher;FC Utrecht;Holland;Eredivisie;CM;3;2;Right;Normal;70;68;77;77;61;55
4500;83;Wissam Ben Yedder;AS Monaco Football Club SA;France;Ligue 1 Conforama;ST;4;5;Right;Normal;84;82;77;85;39;61
333333;85;Ronald Koeman;Icons;Holland;Icons;CB;3;3;Right;Icon;67;84;87;76;86;82
1400;79;Otávio Edmilson da Silva Monteiro;FC Porto;Brazil;Liga NOS;RM;4;3;Right;Normal;75;69;77;84;45;62
3100;76;Guilherme dos Santos Torres;Olympiacos CFP;Brazil;Hellas Liga;CDM;3;4;Right;CL;67;64;72;69;72;78
2267;78;Bertrand Traoré;Olympique Lyonnais;Burkina Faso;Ligue 1 Conforama;RW;4;1;Left;CL;87;73;71;83;43;66
13167;84;Douglas Costa de Souza;Piemonte Calcio;Brazil;Serie A TIM;LM;5;3;Left;CL;94;73;79;91;43;61
850;76;Phil Jagielka;Sheffield United;England;Premier League;CB;2;3;Right;Normal;46;44;57;54;77;65
867;75;David Remeseiro Salgueiro;Getafe CF;Spain;LaLiga Santander;RM;3;4;Right;;77;73;71;76;45;64
42083;81;Juan Guilherme Nunes Jesus;Roma;Brazil;Serie A TIM;CB;2;2;Left;UEL LIVE;79;38;61;67;82;83
10000;85;Rodrigo Hernández Cascante;Manchester City;Spain;Premier League;CDM;3;4;Right;CL;67;68;77;78;82;80
700;78;Ljubomir Fejsa;SL Benfica;Serbia;Liga NOS;CDM;2;3;Right;Normal;54;57;65;66;81;80
850;78;Benjamin André;LOSC Lille;France;Ligue 1 Conforama;CM;3;3;Right;Normal;70;64;75;75;77;82
1400;77;Christian Luyindama;Galatasaray SK;Congo DR;Süper Lig;CB;2;2;Right;Normal;73;37;50;52;76;84
583;78;Viktor Fischer;FC København;Denmark;Superliga;LM;4;4;Right;Normal;82;72;73;80;37;70
600;77;Danny Drinkwater;Burnley;England;Premier League;CM;3;4;Right;Normal;59;66;76;75;71;68
4800;78;Renzo Saravia;FC Porto;Argentina;Liga NOS;RB;3;2;Right;Normal;90;41;68;76;73;79
1700;82;José Luis Morales Nogales;Levante UD;Spain;LaLiga Santander;ST;4;4;Right;Normal;89;81;76;85;58;69
6900;84;Riyad Mahrez;Manchester City;Algeria;Premier League;RW;5;4;Left;Normal;84;78;79;89;38;59
700;76;Solomon Kverkvelia;Lokomotiv Moscow;Georgia;League of Russia;CB;2;2;Right;Normal;72;38;53;42;78;81
850;79;Borja Valero Iglesias;Inter;Spain;Serie A TIM;CAM;4;4;Right;CL;48;69;84;82;66;60
12833;82;Ben Chilwell;Leicester City;England;Premier League;LB;3;3;Left;IF;81;53;75;80;79;78
850;78;Christophe Hérelle;OGC Nice;France;Ligue 1 Conforama;CB;2;3;Right;Normal;64;46;63;63;78;74
817;79;Raúl de Tomás Gómez;SL Benfica;Spain;Liga NOS;ST;3;3;Right;Normal;72;81;60;74;35;71
950;78;Manuel Agudo Durán;Sevilla FC;Spain;LaLiga Santander;LM;4;3;Right;Normal;68;77;76;78;45;64
850;81;Rafael Alcântara;RC Celta;Brazil;LaLiga Santander;CAM;4;4;Left;Normal;67;76;79;83;68;60
533;79;Diadie Samassekou;TSG 1899 Hoffenheim;Mali;Bundesliga;CDM;3;3;Right;Normal;73;49;69;73;77;77
2600;79;John Brooks;VfL Wolfsburg;United States;Bundesliga;CB;2;3;Left;Normal;71;39;58;65;80;75
667;76;Rúben Afonso Borges Semedo;Olympiacos CFP;Portugal;Hellas Liga;CB;2;3;Right;Normal;68;52;54;64;74;77
867;78;Florent Mollet;Montpellier Hérault SC;France;Ligue 1 Conforama;CAM;4;4;Right;Normal;76;74;78;79;50;59
850;79;Jeison Murillo;Sampdoria;Colombia;Serie A TIM;CB;2;3;Right;Normal;75;40;59;64;79;80
1333;76;Breel Embolo;Borussia Mönchengladbach;Switzerland;Bundesliga;ST;3;4;Right;Normal;75;71;67;75;39;75
2767;76;Tammy Abraham;Chelsea;England;Premier League;ST;3;3;Right;CL;74;74;57;69;31;68
917;79;Raúl Michel Melo da Silva;SC Braga;Brazil;Liga NOS;CB;2;3;Left;Normal;51;54;59;58;79;83
700;76;Yeimar Gómez Andrade;Unión de Santa Fe;Colombia;SAF;CB;2;3;Right;Normal;54;32;40;44;76;85
800;79;Damián Suárez;Getafe CF;Uruguay;LaLiga Santander;RB;3;3;Right;Normal;76;67;74;73;78;76
600;78;Ibrahim Amadou;Norwich City;France;Premier League;CDM;3;3;Right;Normal;71;55;66;71;76;81
700;77;Maxime Lopez;Olympique de Marseille;France;Ligue 1 Conforama;CM;4;3;Right;Normal;72;67;78;78;65;58
1400;77;Miguel Layún;Monterrey;Mexico;LIGA Bancomer MX;RB;3;5;Right;Normal;76;72;75;75;75;69
40333;86;Matthijs de Ligt;Piemonte Calcio;Holland;Serie A TIM;CB;2;4;Right;OTW;68;61;67;70;85;85
3800;84;Josip Ilicic;Atalanta;Slovenia;Serie A TIM;CF;4;4;Left;Normal;70;84;84;84;43;67
1467;75;Hugo Ayala;Tigres U.A.N.L.;Mexico;LIGA Bancomer MX;CB;2;2;Right;Normal;57;55;60;58;76;72
1200;75;Benjamin Henrichs;AS Monaco Football Club SA;Germany;Ligue 1 Conforama;RB;4;4;Right;Normal;76;53;70;77;72;68
650;75;Matías Fernández;Junior FC;Chile;Liga Dimayor;CM;5;4;Right;Normal;70;69;77;78;58;62
4767;77;Renan Augusto Lodi dos Santos;Atlético Madrid;Brazil;LaLiga Santander;LB;4;3;Left;CL;84;66;75;79;72;73
1167;75;Panagiotis Retsos;Bayer 04 Leverkusen;Greece;Bundesliga;CB;2;3;Right;Normal;68;35;59;57;75;71
1200;75;Johan Mojica;Girona FC;Colombia;LaLiga 1 I 2 I 3;LWB;3;2;Left;Normal;90;65;72;74;69;72
1567;76;Ademola Lookman;RB Leipzig;England;Bundesliga;RM;3;4;Right;Normal;82;74;68;83;28;61
833;76;Simon Terodde;1. FC Köln;Germany;Bundesliga;ST;3;4;Right;Normal;56;78;55;67;38;77
